ID,NAME,DISTRICT,TYPE,X_COORD,Y_COORD,RASTERVALU,CLIMATE_ZONE,FROST_RISK
60,Ha Mohau,Butha Buthe,Village,28.65899,-28.59311,2144,Highland,Moderate
61,Mafika-Lisiu,Butha Buthe,Village,28.6551,-28.5795,1993,Foothill,Moderate
62,Ha Sekoati,Butha Buthe,Village,28.64627,-28.58431,2109,Highland,Moderate
63,Ha Molisana,Butha Buthe,Village,28.67778,-28.59166,2114,Highland,Moderate
64,Ha Hlakacha,Butha Buthe,Village,28.50715,-28.74652,1924,Foothill,Moderate
143,Majakaneng,Butha Buthe,Village,28.27672,-28.7554,1717,Valley,Low
145,Tlokoeng,Butha Buthe,Village,28.27057,-28.78168,1756,Valley,Low
146,Matebeleng,Butha Buthe,Village,28.28551,-28.79078,1809,Foothill,Moderate
147,Makanyaneng,Butha Buthe,Village,28.30873,-28.78123,1803,Foothill,Moderate
148,Ha Lepekola,Butha Buthe,Village,28.31304,-28.77501,1803,Foothill,Moderate
149,Ha Lishobana,Butha Buthe,Village,28.31785,-28.78989,1799,Valley,Low
150,Khilibithing,Butha Buthe,Village,28.33786,-28.79659,1816,Foothill,Moderate
151,Ha Selomo,Butha Buthe,Village,28.34182,-28.77747,1730,Valley,Low
152,Ha Malofo,Butha Buthe,Village,28.33969,-28.76292,1702,Valley,Low
153,Ha Sebophe,Butha Buthe,Village,28.36124,-28.7586,1719,Valley,Low
154,Ha Katamelo,Butha Buthe,Village,28.38173,-28.76791,1871,Foothill,Moderate
155,Ha Mohalenyane,Butha Buthe,Village,28.37637,-28.78577,1753,Valley,Low
156,Ha Mothunts'ane,Butha Buthe,Village,28.39673,-28.80469,1827,Foothill,Moderate
157,Tamaseka,Butha Buthe,Village,28.41639,-28.82124,1878,Foothill,Moderate
158,Mabaleteng,Butha Buthe,Village,28.43082,-28.83583,1933,Foothill,Moderate
159,Makeneg,Butha Buthe,Village,28.46605,-28.8355,1991,Foothill,Moderate
160,Lifefong,Butha Buthe,Village,28.43147,-28.79207,1876,Foothill,Moderate
161,Boinyatso,Butha Buthe,Village,28.46605,-28.7842,1958,Foothill,Moderate
162,'Muela,Butha Buthe,Village,28.46195,-28.77601,1861,Foothill,Moderate
163,Moholeng,Butha Buthe,Village,28.48457,-28.79322,2025,Highland,Moderate
164,Ha Leboea,Butha Buthe,Village,28.35526,-28.80502,1798,Valley,Low
190,Phelantaba,Butha Buthe,Village,28.50529,-28.76214,1861,Foothill,Moderate
191,Khamane,Butha Buthe,Village,28.53593,-28.76164,2114,Highland,Moderate
192,Sebataolong,Butha Buthe,Village,28.52204,-28.78728,2001,Highland,Moderate
193,Ha Ranthokoe,Butha Buthe,Village,28.61997,-28.8236,2487,Mountain,High
194,Boalathapo,Butha Buthe,Village,28.59398,-28.86313,2442,Mountain,High
195,Ha Moetsuoa,Butha Buthe,Village,28.57973,-28.90409,2455,Mountain,High
196,Liqalaneng,Butha Buthe,Village,28.54804,-28.90373,2356,Mountain,High
197,Maoela-oela,Butha Buthe,Village,28.54661,-28.93151,2311,Mountain,High
198,Ha Lehloara,Butha Buthe,Village,28.5595,-28.94871,2240,Mountain,High
199,Ha Lemphane,Butha Buthe,Village,28.57614,-28.95144,2409,Mountain,High
200,Lehlakaneng,Butha Buthe,Village,28.53876,-28.98084,2420,Mountain,High
201,Ha Tomo,Butha Buthe,Village,28.54674,-28.99725,2273,Mountain,High
202,Liqhobong,Butha Buthe,Village,28.59871,-28.98928,2438,Mountain,High
203,Ha Sekhobe,Butha Buthe,Village,28.59324,-28.96785,2448,Mountain,High
204,Patuoe,Butha Buthe,Village,28.60372,-28.95965,2388,Mountain,High
205,Thoteng,Butha Buthe,Village,28.61192,-28.9462,2287,Mountain,High
206,Liteleng,Butha Buthe,Village,28.6297,-28.9307,2371,Mountain,High
207,Setonong,Butha Buthe,Village,28.637,-28.90928,2389,Mountain,High
376,Ha Rampai,Butha Buthe,Village,28.5175,-29.00771,2440,Mountain,High
377,Ha Mahlekefane,Butha Buthe,Village,28.52577,-29.03328,2272,Mountain,High
378,Ha Sello,Butha Buthe,Village,28.56915,-29.02376,2346,Mountain,High
379,Ha Lesaoana,Butha Buthe,Village,28.51549,-29.07115,2284,Mountain,High
381,Ha Lephats'oane,Butha Buthe,Village,28.60024,-29.00971,2388,Mountain,High
382,Ha Ralinko,Butha Buthe,Village,28.59623,-29.03629,2528,Mountain,High
383,Kao (Shishila),Butha Buthe,Village,28.63058,-29.02125,2513,Mountain,High
2058,Butha Buthe,Butha Buthe,District Town,28.25236,-28.76806,1722,Valley,Low
2059,Khukhune,Butha Buthe,Town,28.41477,-28.73618,1686,Valley,Low
2078,Ha Mopeli,Butha Buthe,Principal Village,28.28557,-28.76032,1785,Valley,Low
